Symbol,Trades,Buy_Trades,Sell_Trades,Invested,Total_Value,Profit_Loss,Return_Pct
AAPL,6,3,3,3000.0,3211.72,211.72,7.06
MSFT,5,3,2,3000.0,3064.45,64.45,2.15
GOOGL,8,4,4,4000.0,4415.63,415.63,10.39
AMZN,8,4,4,4000.0,4130.47,130.47,3.26
NVDA,8,4,4,4000.0,4066.57,66.57,1.66
META,7,4,3,4000.0,4043.95,43.95,1.1
TSLA,17,9,8,9000.0,9272.21,272.21,3.02
V,3,2,1,2000.0,1989.28,-10.72,-0.54
UNH,11,6,5,6000.0,5996.86,-3.14,-0.05
XOM,3,2,1,2000.0,2076.47,76.47,3.82
JNJ,5,3,2,3000.0,3169.06,169.06,5.64
JPM,3,2,1,2000.0,2121.56,121.56,6.08
WMT,4,2,2,2000.0,2150.64,150.64,7.53
MA,5,3,2,3000.0,3054.08,54.08,1.8
PG,5,3,2,3000.0,2925.84,-74.16,-2.47
LLY,10,5,5,5000.0,5305.36,305.36,6.11
AVGO,12,6,6,6000.0,6275.82,275.82,4.6
HD,6,3,3,3000.0,3070.93,70.93,2.36
CVX,1,1,0,1000.0,1030.34,30.34,3.03
MRK,8,4,4,4000.0,4181.35,181.35,4.53
ABBV,5,3,2,3000.0,3070.74,70.74,2.36
COST,3,2,1,2000.0,1955.16,-44.84,-2.24
ADBE,8,4,4,4000.0,3935.41,-64.59,-1.61
PEP,7,4,3,4000.0,4133.18,133.18,3.33
TMO,6,3,3,3000.0,3260.67,260.67,8.69
MCD,3,2,1,2000.0,2054.13,54.13,2.71
CSCO,4,2,2,2000.0,2062.56,62.56,3.13
NFLX,7,4,3,4000.0,3907.36,-92.64,-2.32
ABT,3,2,1,2000.0,2109.94,109.94,5.5
ACN,12,6,6,6000.0,5810.7,-189.3,-3.16
